frame vehicles pedestrian wait
355 10 0 297 
356 10 0 306 
357 10 0 315 
358 10 0 324 
359 10 0 333 
360 10 1 342 
361 10 1 343 
362 10 1 350 
363 11 1 357 
364 11 1 368 
365 11 1 378 
366 12 1 380 
367 12 1 390 
368 12 1 398 
369 12 1 409 
370 12 1 385 
371 12 1 396 
372 13 1 407 
373 13 1 409 
374 13 1 420 
375 13 1 425 
376 13 1 437 
377 13 1 449 
378 12 1 450 
379 11 1 461 
380 11 1 471 
381 11 1 482 
382 11 1 448 
383 11 1 459 
384 11 1 470 
385 11 1 447 
386 11 1 458 
387 11 1 468 
388 11 1 480 
389 11 1 492 
390 11 1 348 
391 11 1 358 
392 11 1 366 
393 11 1 376 
394 11 1 334 
395 11 1 343 
396 11 1 353 
397 11 1 359 
398 11 1 368 
399 11 1 359 
400 11 1 369 
401 11 1 379 
402 10 1 376 
403 9 1 371 
404 9 1 381 
405 10 1 390 
406 10 1 400 
407 10 1 409 
408 11 2 418 
409 11 2 371 
410 11 2 380 
411 11 2 389 
412 11 2 398 
413 11 3 407 
414 11 3 397 
415 11 3 406 
416 12 3 413 
417 12 2 421 
418 12 2 399 
419 11 2 408 
420 11 3 417 
421 11 3 419 
422 10 3 426 
423 10 2 432 
424 10 2 439 
425 10 2 446 
426 10 2 455 
427 10 2 464 
428 10 2 472 
429 10 1 478 
430 10 1 476 
431 10 1 483 
432 11 1 490 
433 10 1 497 
434 10 1 507 
435 10 1 510 
436 10 0 518 
437 10 0 526 
438 10 0 535 
439 10 0 544 
440 10 0 464 
441 10 0 472 
442 10 0 480 
443 10 0 487 
444 10 0 494 
445 10 0 463 
446 10 0 471 
447 9 0 472 
448 9 0 480 
449 9 0 488 
450 9 0 496 
451 9 0 503 
452 9 0 504 
453 9 0 512 
454 8 0 504 
455 8 0 512 
456 9 0 520 
457 10 0 528 
458 10 0 537 
459 10 0 469 
460 10 0 477 
461 10 0 482 
462 10 0 489 
463 10 0 496 
464 10 0 504 
465 10 0 512 
466 10 0 519 
467 10 0 526 
468 10 0 533 
469 9 0 540 
470 9 0 547 
471 9 0 555 
472 8 0 562 
473 8 0 542 
474 8 0 550 
475 9 0 558 
476 9 0 551 
477 9 0 559 
478 9 0 565 
479 10 0 572 
480 10 0 580 
481 10 0 588 
482 10 0 595 
483 10 0 603 
484 10 0 611 
485 10 0 610 
486 10 0 619 
487 10 0 628 
488 9 0 632 
489 9 0 639 
490 9 0 646 
491 9 0 653 
492 9 0 656 
493 9 0 664 
494 9 0 673 
495 9 0 681 
496 9 0 689 
497 9 0 584 
498 9 0 591 
499 9 0 598 
500 9 0 603 
501 9 0 611 
502 9 0 618 
503 9 0 625 
504 9 0 632 
505 9 0 640 
506 9 0 648 
507 8 0 649 
508 8 0 656 
509 9 0 664 
510 9 0 673 
511 9 0 682 
512 9 0 691 
513 9 0 700 
514 9 0 708 
515 9 0 716 
516 9 0 724 
517 9 0 713 
518 9 0 722 
519 9 0 730 
520 9 0 737 
521 9 0 745 
522 9 0 753 
523 9 0 761 
524 9 0 769 
525 9 0 777 
526 9 0 786 
527 9 0 795 
